Device ID	Device Name	Device Platform
00008020-000608891488003A	e96b22fb05af65263774	ios
00008030-000121302608802E	e1c3aa2ee99a75b77b9b	ios
00008030-000C18DA0EA0802E	1ca4645d3b15791fb0d5	ios
00008101-000E381C0140021E	5d13b2ee5eab265fe642	ios
00008101-000E381C0140001E	db46fff7ded30f2fea0b	ios
00008020-000B796E3A0B002E	d48d8a5479306fca562a	ios
00008030-00194522112B802E	b9702de6c2688d6d035e	ios
28d884adabb3e02fbd632b323fd6a3f0237a3c75	2b6a0bf56464929e7f4c	ios
00008020-001244213C9A002E	d59d39f8e852caff3224	ios
00008020-000645020251002E	75c8cb6c0eb97e24b263	ios
00008101-0016215C2E00001E	b22459b1879ce485fdf4	ios
00008030-0015309601D1802E	0bb5ea470f44e8d0509d	ios
00008101-000E381C0140001D	87bbe76ec232f0e48c3a	ios
bdb270a8335a1f963a7f2683c30dd9548d14fca6	4b0a33dd7417cb3778e0	ios
ea2b94edc49b9a71715abb5470f4eda0f17eb8f8	28b646428ed2ce631dd7	ios
00008030-001E50D12EE2802E	f7210f002c6ea04a42b1	ios
2b9ce33721d89eb40915e7e1529ba7132b795fa4	3419798bb25b9cddc556	ios
00008020-0001710C0186002E	1bcb6f7c31825046c736	ios
00008020-001C396A1E82002E	214fbf71d4c43291855d	ios
aea08d0a176ad76d12d3567efc122136fc9682c4	c9cb42d737a5a9d1da05	ios
00008020-000434A23E91002E	a3da40a5bbd7aeb49519	ios
00008020-001E29D41AD1002E	697f0fc4bddf1a9c8227	ios
02d6e164e2c8a959c5ff244cd7f986601c04198f	4a3c30720a0f6d9492a9	ios
00008101-000525923CF1003A	ad3649056b2a6238dcb4	ios
0d8e950969578f2b77189d40a0626e411a772965	540b30e6d882d657b884	ios
00008101-000950503E60001E	5c88f8c2cc5068e4079b	ios
00008030-000618EE2291802E	e771efe958192503262f	ios
00008101-000914282190001E	deed5a7e0983814391f4	ios
00008101-000629E10220001E	403e0ed24ccdbb3d4db4	ios
7fcab501c7e79fa20c6c63e8fc37c630d71d263b	b1658bacdab1dfe86584	ios
2a620718c5a163b881e057507fc08b89e9ef2832	b909f000e371cbb0f827	ios
7bb37c7ceb89a130e2fb935154e1417d1e781701	c727f6cb189c6b67495a	ios
Development
	ApplicationIdentifierPrefix	480d451ed8ef0f106c82	ios
